Id,SalePrice
1461,121751.086
1462,163086.23
1463,181671.28
1464,190367.03
1465,189649.3
1466,177530.62
1467,173377.77
1468,165685.95
1469,190525.06
1470,124952.68
1471,199232.97
1472,101461.48
1473,100355.234
1474,146307.34
1475,128919.45
1476,368118.28
1477,254448.86
1478,289766.8
1479,260606.88
1480,443806.06
1481,325224.53
1482,211963.6
1483,172323.81
1484,165132.56
1485,178633.0
1486,194788.98
1487,337041.2
1488,238567.66
1489,207266.34
1490,220778.19
1491,196104.92
1492,89881.44
1493,186398.88
1494,317618.12
1495,300757.25
1496,238579.25
1497,191633.67
1498,161206.48
1499,165523.84
1500,155735.34
1501,170158.55
1502,149115.36
1503,313853.16
1504,244034.2
1505,227646.27
1506,186034.94
1507,248277.42
1508,205477.92
1509,162402.2
1510,148260.02
1511,140627.25
1512,165394.12
1513,138166.89
1514,168824.4
1515,206552.89
1516,151303.53
1517,163054.89
1518,125954.25
1519,226476.02
1520,133825.52
1521,137440.73
1522,144225.86
1523,107256.625
1524,126317.83
1525,121509.67
1526,125117.484
1527,107492.37
1528,138888.34
1529,153381.23
1530,172533.81
1531,102964.05
1532,104960.96
1533,146370.92
1534,126960.6
1535,156215.5
1536,104647.375
1537,67694.53
1538,178846.06
1539,197631.34
1540,90768.93
1541,135575.77
1542,139440.02
1543,214491.36
1544,80934.7
1545,116834.63
1546,127376.26
1547,127783.03
1548,138035.23
1549,116818.8
1550,137126.03
1551,120682.75
1552,144806.22
1553,157527.4
1554,113451.195
1555,168648.89
1556,80749.984
1557,111291.05
1558,92521.67
1559,84627.15
1560,140815.34
1561,132434.08
1562,125134.36
1563,118507.16
1564,164715.05
1565,136785.9
1566,229866.67
1567,69289.27
1568,231273.31
1569,143578.5
1570,131717.28
1571,127265.81
1572,152213.17
1573,253017.53
1574,110678.336
1575,219791.77
1576,232682.2
1577,197674.88
1578,144353.94
1579,142556.33
1580,194294.12
1581,152745.12
1582,122296.76
1583,328175.94
1584,219928.19
1585,144552.77
1586,76423.836
1587,96270.47
1588,150825.62
1589,99109.43
1590,134082.31
1591,91417.055
1592,120034.41
1593,127804.28
1594,165213.33
1595,106494.83
1596,236341.14
1597,175668.58
1598,200514.47
1599,192398.81
1600,176943.48
1601,78355.38
1602,117968.39
1603,87324.8
1604,282691.8
1605,241637.6
1606,167130.66
1607,202776.78
1608,224660.86
1609,196283.75
1610,153084.58
1611,132409.98
1612,169251.48
1613,157703.62
1614,129334.266
1615,91863.664
1616,71548.85
1617,92319.81
1618,119851.84
1619,134876.45
1620,158571.97
1621,134927.11
1622,135780.34
1623,274492.38
1624,213140.69
1625,129087.15
1626,167685.25
1627,184777.89
1628,283590.3
1629,176443.36
1630,343013.44
1631,232451.39
1632,238796.97
1633,171843.52
1634,182945.17
1635,178973.97
1636,149282.25
1637,190597.02
1638,204650.83
1639,181476.92
1640,280483.03
1641,183745.45
1642,216662.52
1643,224538.23
1644,224723.8
1645,193267.22
1646,157240.56
1647,164484.48
1648,129166.07
1649,134395.28
1650,117368.93
1651,121929.336
1652,101167.92
1653,101877.16
1654,148080.62
1655,154566.39
1656,144312.0
1657,146732.7
1658,143697.3
1659,141319.17
1660,153782.78
1661,415800.0
1662,420440.6
1663,395776.1
1664,301762.25
1665,313654.06
1666,323127.38
1667,365455.47
1668,333834.75
1669,292195.56
1670,366243.62
1671,281003.56
1672,401021.88
1673,299524.22
1674,247485.56
1675,180229.38
1676,183643.05
1677,220677.12
1678,289967.12
1679,368469.53
1680,333501.4
1681,275844.22
1682,312595.28
1683,178569.75
1684,169772.03
1685,175584.23
1686,168102.9
1687,170471.45
1688,185708.11
1689,188605.47
1690,189810.53
1691,184558.0
1692,278085.2
1693,165546.42
1694,183020.33
1695,163625.16
1696,279024.28
1697,173418.88
1698,380810.7
1699,314364.84
1700,234115.56
1701,257875.47
1702,258444.55
1703,267068.22
1704,306096.7
1705,229899.27
1706,309507.4
1707,216329.45
1708,219073.03
1709,286905.94
1710,225462.47
1711,252859.81
1712,267961.8
1713,286229.5
1714,217293.12
1715,210101.45
1716,190618.19
1717,182035.16
1718,139926.02
1719,205370.98
1720,241871.22
1721,172916.53
1722,133711.7
1723,152877.19
1724,206780.77
1725,238823.73
1726,183589.4
1727,152568.44
1728,169249.64
1729,162327.78
1730,155318.05
1731,120639.06
1732,128011.18
1733,115252.25
1734,116995.484
1735,129136.695
1736,112188.74
1737,333223.62
1738,206546.67
1739,311021.7
1740,249659.2
1741,202662.98
1742,168618.88
1743,169362.73
1744,305859.38
1745,231019.86
1746,209482.11
1747,214582.5
1748,223793.11
1749,148192.2
1750,132378.84
1751,238076.81
1752,122996.88
1753,138888.66
1754,201626.84
1755,171002.17
1756,139070.75
1757,119534.55
1758,142939.53
1759,164740.44
1760,164453.38
1761,138180.67
1762,186587.47
1763,175160.77
1764,117359.195
1765,167560.22
1766,176253.56
1767,212004.25
1768,148366.45
1769,180113.45
1770,144329.7
1771,134022.75
1772,130051.586
1773,124081.11
1774,134231.75
1775,141585.72
1776,125504.445
1777,116955.15
1778,139811.75
1779,119120.46
1780,173945.39
1781,137714.52
1782,95457.73
1783,134460.14
1784,108198.72
1785,113400.47
1786,162598.3
1787,182113.11
1788,61854.645
1789,107364.89
1790,74451.04
1791,194798.02
1792,153281.72
1793,134283.31
1794,143807.47
1795,137479.05
1796,131819.94
1797,124558.63
1798,128632.48
1799,110479.055
1800,143578.27
1801,128375.12
1802,139446.48
1803,151858.83
1804,138809.72
1805,145800.8
1806,118003.33
1807,132503.8
1808,134007.94
1809,115178.26
1810,149219.62
1811,98447.31
1812,90483.52
1813,123760.75
1814,94628.5
1815,54420.473
1816,93344.0
1817,108966.03
1818,145051.34
1819,126604.18
1820,53729.426
1821,104141.85
1822,143875.38
1823,46331.895
1824,130433.8
1825,134406.61
1826,100408.35
1827,104641.58
1828,139267.78
1829,109568.63
1830,144308.38
1831,169540.08
1832,83733.58
1833,150563.78
1834,118895.98
1835,131196.8
1836,134228.69
1837,94912.19
1838,125932.24
1839,91532.74
1840,166710.62
1841,143989.66
1842,75640.38
1843,141732.58
1844,147948.58
1845,146999.58
1846,156674.75
1847,176103.69
1848,48292.617
1849,117884.805
1850,111558.62
1851,155720.12
1852,131265.62
1853,130132.164
1854,167448.44
1855,135439.88
1856,209309.64
1857,158930.02
1858,132949.8
1859,118970.13
1860,140812.9
1861,118970.13
1862,298181.28
